"Variable","Noise","beta_S","beta_P","mean","error"
"Error",1,2.5,4,0.2235,0.00416611457488451
"Error",1,2.5,4.5,0.2172,0.00412360478363787
"Error",1,2.5,5,0.1996,0.00399719673748689
"Error",1,2.5,5.5,0.1606,0.00367179958756209
"Error",1,2.5,6,0.2265,0.00418587232876437
"Error",1,2.5,6.5,0.1863,0.00389368040222968
"Error",1,2.5,7,0.2498,0.00432918816719933
"Error",1,2.5,7.5,0.284,0.00450959351198801
"Error",1,2.5,8,0.3847,0.00486548643979506
"Error",1,2.5,8.5,0.3564,0.00478959267785915
"Error",1,2.5,9,0.3538,0.00478171961581275
"Error",1,2.5,9.5,0.3355,0.00472188570599311
"Error",1,2.5,10,0.4263,0.00494563210597925
"Error",1,3,1,0.3061,0.00460894817071358
"Error",1,3,1.5,0.2767,0.00447389232897453
"Error",1,3,2,0.2755,0.00446788218254686
"Error",1,3,2.5,0.2472,0.00431405576084857
"Error",1,3,3,0.2434,0.00429155982698306
"Error",1,3,3.5,0.2429,0.00428856598174938
"Error",1,3,4,0.2126,0.00409167425143033
"Error",1,3,4.5,0.1978,0.00398360426125526
"Error",1,3,5,0.2082,0.00406040942424151
"Error",1,3,5.5,0.2094,0.00406900721085232
"Error",1,3,6,0.1758,0.00380668951827028
"Error",1,3,6.5,0.1805,0.00384622598730685
"Error",1,3,7,0.1946,0.00395912256253157
"Error",1,3,7.5,0.2276,0.00419303972771733
"Error",1,3,8,0.3189,0.00466073505416522
"Error",1,3,8.5,0.258,0.00437555877019783
"Error",1,3,9,0.2965,0.00456736916464047
"Error",1,3,9.5,0.2896,0.00453599399516274
"Error",1,3,10,0.3945,0.00488767469625318
"Error",1,3.5,1,0.3019,0.00459105072665043
"Error",1,3.5,1.5,0.2814,0.0044970464020993
"Error",1,3.5,2,0.277,0.00447538857645803
"Error",1,3.5,2.5,0.2561,0.00436499534002407
"Error",1,3.5,3,0.2509,0.00433552749730272
"Error",1,3.5,3.5,0.2401,0.004271653509166
"Error",1,3.5,4,0.2198,0.00414131755014091
"Error",1,3.5,4.5,0.222,0.00415611926353579
"Error",1,3.5,5,0.1931,0.00394750519692222
"Error",1,3.5,5.5,0.2035,0.00402621361077675
"Error",1,3.5,6,0.1935,0.00395061207075225
"Error",1,3.5,6.5,0.1979,0.0039843627488786
"Error",1,3.5,7,0.2004,0.00400319704219713
"Error",1,3.5,7.5,0.1842,0.00387666594561427
"Error",1,3.5,8,0.1798,0.00384039983166945
"Error",1,3.5,8.5,0.229,0.00420210254117824
"Error",1,3.5,9,0.188,0.00390731707347526
"Error",1,3.5,9.5,0.2843,0.0045110293657428
"Error",1,3.5,10,0.272,0.00445012138688776
"Error",1,4,1,0.3114,0.00463089068267126
"Error",1,4,1.5,0.2851,0.0045148463300248
"Error",1,4,2,0.2731,0.00445574060762476
"Error",1,4,2.5,0.2698,0.00443877981844422
"Error",1,4,3,0.2497,0.0043286100178312
"Error",1,4,3.5,0.2433,0.00429096169118573
"Error",1,4,4,0.2149,0.00410773494138009
"Error",1,4,4.5,0.2301,0.00420917696433302
"Error",1,4,5,0.2074,0.00405464770563383
"Error",1,4,5.5,0.1891,0.00391607616949116
"Error",1,4,6,0.1865,0.00389529104551033
"Error",1,4,6.5,0.1961,0.00397064926750784
"Error",1,4,7,0.1831,0.00386767823034561
"Error",1,4,7.5,0.1645,0.00370747212193881
"Error",1,4,8,0.1803,0.00384456357300887
"Error",1,4,8.5,0.1928,0.00394517077415462
"Error",1,4,9,0.2014,0.00401066235692487
"Error",1,4,9.5,0.2028,0.00402104872928548
"Error",1,4,10,0.212,0.00408745284096009
