"Variable","Noise","switch_rate","beta_S","beta_P","mean","error"
"Error",0,0.01,6.5,3,0.0215,0.00145051211595762
"Error",0,0.01,6.5,3.5,0.019,0.00136531549783955
"Error",0,0.01,6.5,4,0.0254,0.00157344576428847
"Error",0,0.01,6.5,4.5,0.0259,0.00158844934358377
"Error",0,0.01,6.5,5,0.0321,0.00176274494098627
"Error",0,0.01,6.5,5.5,0.023,0.00149910797892388
"Error",0,0.01,6.5,6,0.0523,0.00222642464428277
"Error",0,0.01,6.5,6.5,0.0655,0.00247418414001785
"Error",0,0.01,6.5,7,0.0936,0.00291285984476554
"Error",0,0.01,6.5,7.5,0.1361,0.00342911867474553
"Error",0,0.01,6.5,8,0.2155,0.00411189320952972
"Error",0,0.01,6.5,8.5,0.2724,0.00445216870531857
"Error",0,0.01,6.5,9,0.342,0.00474403315598221
"Error",0,0.01,6.5,9.5,0.3253,0.00468510256222869
"Error",0,0.01,6.5,10,0.4275,0.00494740565167929
"Error",0,0.01,7,1,0.0536,0.00225237903584901
"Error",0,0.01,7,1.5,0.0366,0.00187787024036912
"Error",0,0.01,7,2,0.0274,0.00163254112323454
"Error",0,0.01,7,2.5,0.025,0.00156132756792975
"Error",0,0.01,7,3,0.0199,0.00139663669556758
"Error",0,0.01,7,3.5,0.0222,0.00147340866473268
"Error",0,0.01,7,4,0.0159,0.00125094983414554
"Error",0,0.01,7,4.5,0.0219,0.00146364381777895
"Error",0,0.01,7,5,0.0307,0.00172512277964801
"Error",0,0.01,7,5.5,0.0375,0.00189993051809727
"Error",0,0.01,7,6,0.0579,0.0023356593352741
"Error",0,0.01,7,6.5,0.0671,0.00250207614562464
"Error",0,0.01,7,7,0.072,0.00258500836107404
"Error",0,0.01,7,7.5,0.1306,0.00336979221168828
"Error",0,0.01,7,8,0.1636,0.00369930702797818
"Error",0,0.01,7,8.5,0.2017,0.00401289438337632
"Error",0,0.01,7,9,0.2752,0.00446637334412215
"Error",0,0.01,7,9.5,0.3401,0.00473766224464708
"Error",0,0.01,7,10,0.3812,0.00485705827651987
"Error",0,0.01,7.5,1,0.0491,0.00216087619696128
"Error",0,0.01,7.5,1.5,0.0343,0.00182007754456419
"Error",0,0.01,7.5,2,0.027,0.0016209141668434
"Error",0,0.01,7.5,2.5,0.0213,0.00144389732458662
"Error",0,0.01,7.5,3,0.0153,0.00122749406278296
"Error",0,0.01,7.5,3.5,0.0141,0.00117909203449204
"Error",0,0.01,7.5,4,0.0111,0.00104775415956124
"Error",0,0.01,7.5,4.5,0.0181,0.00133319793792001
"Error",0,0.01,7.5,5,0.0231,0.00150228648614991
"Error",0,0.01,7.5,5.5,0.0226,0.00148631925052845
"Error",0,0.01,7.5,6,0.0321,0.00176274494098627
"Error",0,0.01,7.5,6.5,0.0506,0.00219190429636981
"Error",0,0.01,7.5,7,0.0581,0.0023394414501393
"Error",0,0.01,7.5,7.5,0.0617,0.0024062190234887
"Error",0,0.01,7.5,8,0.1242,0.00329826073141364
"Error",0,0.01,7.5,8.5,0.1634,0.00369748713873546
"Error",0,0.01,7.5,9,0.1595,0.00366160015998104
"Error",0,0.01,7.5,9.5,0.3067,0.00461146804865396
"Error",0,0.01,7.5,10,0.3422,0.00474469885416574
"Error",0,0.01,8,1,0.0445,0.00206213487435328
"Error",0,0.01,8,1.5,0.0338,0.00180723064611599
"Error",0,0.01,8,2,0.0261,0.00159440685313421
"Error",0,0.01,8,2.5,0.0177,0.0013186526777315
"Error",0,0.01,8,3,0.0172,0.00130022500303057
"Error",0,0.01,8,3.5,0.0122,0.00109783264829042
"Error",0,0.01,8,4,0.0205,0.00141710120230764
"Error",0,0.01,8,4.5,0.0165,0.00127394556152505
"Error",0,0.01,8,5,0.018,0.00132957766891512
"Error",0,0.01,8,5.5,0.0207,0.0014238517252065
"Error",0,0.01,8,6,0.028,0.0016498097427336
"Error",0,0.01,8,6.5,0.0375,0.00189993051809727
"Error",0,0.01,8,7,0.0473,0.00212290406570038
"Error",0,0.01,8,7.5,0.0606,0.00238607068908977
"Error",0,0.01,8,8,0.1112,0.00314395363268043
"Error",0,0.01,8,8.5,0.1003,0.00300414604993648
"Error",0,0.01,8,9,0.1603,0.0036690240083321
"Error",0,0.01,8,9.5,0.2146,0.00410565093949348
"Error",0,0.01,8,10,0.2932,0.00455252111964947
"Error",0,0.01,8.5,1,0.0448,0.0020687493739932
"Error",0,0.01,8.5,1.5,0.0284,0.00166121039064779
"Error",0,0.01,8.5,2,0.0228,0.00149272865045272
"Error",0,0.01,8.5,2.5,0.0162,0.00126250362040636
"Error",0,0.01,8.5,3,0.0119,0.00108441532433822
"Error",0,0.01,8.5,3.5,0.012,0.00108890705381919
"Error",0,0.01,8.5,4,0.0135,0.00115408326858121
"Error",0,0.01,8.5,4.5,0.0128,0.0011241629660496
"Error",0,0.01,8.5,5,0.0148,0.00120757683986669
"Error",0,0.01,8.5,5.5,0.0213,0.00144389732458662
"Error",0,0.01,8.5,6,0.0289,0.00167533867500503
"Error",0,0.01,8.5,6.5,0.0319,0.00175742648631045
"Error",0,0.01,8.5,7,0.0321,0.00176274494098627
"Error",0,0.01,8.5,7.5,0.0431,0.00203092379599691
"Error",0,0.01,8.5,8,0.0748,0.0026308151054021
"Error",0,0.01,8.5,8.5,0.0934,0.00291006715542527
"Error",0,0.01,8.5,9,0.1207,0.00325794604332885
"Error",0,0.01,8.5,9.5,0.1716,0.00377051265434392
"Error",0,0.01,8.5,10,0.2584,0.00437776889363162
"Error",0,0.01,9,1,0.0372,0.00189261041881834
"Error",0,0.01,9,1.5,0.0258,0.00158546124794549
"Error",0,0.01,9,2,0.0216,0.00145380719338417
"Error",0,0.01,9,2.5,0.0138,0.00116665852296673
"Error",0,0.01,9,3,0.0141,0.00117909203449204
"Error",0,0.01,9,3.5,0.0164,0.00127014382120005
"Error",0,0.01,9,4,0.0111,0.00104775415956124
"Error",0,0.01,9,4.5,0.0099,9.90099504950371e-04
"Error",0,0.01,9,5,0.0123,0.00110226698183785
"Error",0,0.01,9,5.5,0.0152,0.00122353819089167
"Error",0,0.01,9,6,0.0159,0.00125094983414554
"Error",0,0.01,9,6.5,0.0274,0.00163254112323454
"Error",0,0.01,9,7,0.0268,0.00161506558494829
"Error",0,0.01,9,7.5,0.0374,0.00189749414976828
"Error",0,0.01,9,8,0.0453,0.00207971717364459
"Error",0,0.01,9,8.5,0.0665,0.00249166527438658
"Error",0,0.01,9,9,0.0944,0.00292399024825617
"Error",0,0.01,9,9.5,0.1404,0.00347418925781252
"Error",0,0.01,9,10,0.1293,0.00335548460400175
"Error",0,0.01,9.5,1,0.0402,0.00196437824213867
"Error",0,0.01,9.5,1.5,0.0266,0.00160919326070396
"Error",0,0.01,9.5,2,0.0191,0.00136883394560373
"Error",0,0.01,9.5,2.5,0.0163,0.00126632987769219
"Error",0,0.01,9.5,3,0.0114,0.00106165753031341
"Error",0,0.01,9.5,3.5,0.0098,9.85136056240421e-04
"Error",0,0.01,9.5,4,0.0105,0.00101935220012064
"Error",0,0.01,9.5,4.5,0.012,0.00108890705381919
"Error",0,0.01,9.5,5,0.0109,0.00103837701374899
"Error",0,0.01,9.5,5.5,0.0115,0.00106624982479196
"Error",0,0.01,9.5,6,0.0142,0.00118320581371111
"Error",0,0.01,9.5,6.5,0.018,0.00132957766891512
"Error",0,0.01,9.5,7,0.0226,0.00148631925052845
"Error",0,0.01,9.5,7.5,0.0394,0.00194554427198443
"Error",0,0.01,9.5,8,0.0411,0.00198531436989579
"Error",0,0.01,9.5,8.5,0.0595,0.00236569961184115
"Error",0,0.01,9.5,9,0.0869,0.00281702548147089
"Error",0,0.01,9.5,9.5,0.1076,0.0030989005015379
"Error",0,0.01,9.5,10,0.1339,0.00340561871381433
"Error",0,0.01,10,1,0.0334,0.00179687697872939
"Error",0,0.01,10,1.5,0.0263,0.00160033968541397
"Error",0,0.01,10,2,0.0172,0.00130022500303057
"Error",0,0.01,10,2.5,0.0127,0.00111981980677248
"Error",0,0.01,10,3,0.0118,0.00107990398613114
"Error",0,0.01,10,3.5,0.0096,9.75130292785939e-04
"Error",0,0.01,10,4,0.0104,0.00101453779066769
"Error",0,0.01,10,4.5,0.0133,0.00114561871677466
"Error",0,0.01,10,5,0.0128,0.0011241629660496
"Error",0,0.01,10,5.5,0.0155,0.00123536537621923
"Error",0,0.01,10,6,0.0157,0.00124318363508979
"Error",0,0.01,10,6.5,0.0197,0.00138974247197596
"Error",0,0.01,10,7,0.0208,0.00142721396222479
"Error",0,0.01,10,7.5,0.0277,0.0016412008877756
"Error",0,0.01,10,8,0.0318,0.00175476035924905
"Error",0,0.01,10,8.5,0.0516,0.00221229144177306
"Error",0,0.01,10,9,0.056,0.00229933222759768
"Error",0,0.01,10,9.5,0.0804,0.00271925052769016
"Error",0,0.01,10,10,0.1048,0.00306310859478183
"Error",0,0.05,1,1,0.3356,0.00472223399985589
"Error",0,0.05,1,1.5,0.3257,0.00468659230302162
"Error",0,0.05,1,2,0.3535,0.00478080125147036
